title,size,price,bedrooms,bathrooms
فيلا للبيع في شارع رقم 334 ، الرياض,480.0,1895102.5614597956,5.0,5.0
فيلا للبيع في شارع راشد بن دباس ، حي اشبيلية ، الرياض,648.0,1750000.0,5.0,3.0
فيلا للبيع في شارع وادي الجناح ، حي السليمانية ، الرياض,352.0,1200000.0,3.0,4.0
فيلا للبيع في شارع المعيدن ، حي السعادة ، الرياض,500.0,1200000.0,5.0,5.0
فيلا للبيع في الرياض,300.0,1400000.0,5.0,5.0
فيلا للبيع في شارع رغدان ، حي الصحافة ، الرياض,475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في شارع أحمد بناني ، الرياض,400.0,2027200.0,5.0,5.0
فيلا للبيع في حي الشرق ، الرياض,375.0,1250000.0,5.0,5.0
فيلا للبيع في حي المونسية ، الرياض,325.0,1400000.0,5.0,5.0
فيلا للبيع في شارع وادي الرباح ، حي طويق ، الرياض,400.0,750000.0,5.0,3.0
فيلا للبيع في شارع اوس الزاهد ، حي النسيم الغربي ، الرياض,475.6799679165831,2500000.0,5.0,5.0
فيلا للبيع في شارع نجم الدين الأيوبي ، الرياض,360.0,900000.0,5.0,4.0
فيلا للبيع في حي القادسية ، الرياض,420.0,1500000.0,5.0,5.0
فيلا للبيع في حي الرمال ، الرياض,300.0,1050000.0,4.0,5.0
فيلا للبيع في شارع المحاميد ، حي الحزم ، الرياض,288.0,880000.0,4.70312813314618,5.0
فيلا للبيع في شارع سليمان العدواني ، حي عرقة ، الرياض,525.0,2135000.0,4.70312813314618,5.0
فيلا للبيع في شارع قلعة الفسطاط ، حي اشبيلية ، الرياض,414.0,1800000.0,4.0,4.0
فيلا للبيع في شارع خيبر ، الرياض,360.0,1650000.0,3.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,550.0,1895102.5614597956,5.0,5.0
فيلا للبيع في طريق الامير عبدالرحمن بن سعود ، الرياض,316.0,1200000.0,5.0,5.0
فيلا للبيع في حي الدار البيضاء ، الرياض,300.0,950000.0,5.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,475.6799679165831,1895102.5614597956,6.0,5.0
فيلا للبيع في شارع الشبيكة ، حي الملز ، الرياض,624.0,1150000.0,5.0,5.0
فيلا للبيع في الرياض,300.0,800000.0,5.0,3.0
فيلا للبيع في شارع البسالة ، الرياض,379.0,1300000.0,4.0,5.0
فيلا للبيع في شارع عبدالله بن مرخان ، حي قرطبة ، الرياض,480.0,2400000.0,5.0,5.0
فيلا للبيع في شارع التخصصي ، حي النخيل ، الرياض,290.0,2200000.0,4.0,5.0
فيلا للبيع في شارع ابي بكر الطحان ، حي الخليج ، الرياض,475.6799679165831,1650000.0,5.0,4.0
فيلا للبيع في المملكة العربية السعودية,220.0,800000.0,4.0,4.0
فيلا للبيع في شارع العمارية ، حي الملقا ، الرياض,400.0,2700000.0,4.70312813314618,5.0
فيلا للبيع في حي المعيزيلة ، الرياض,437.0,1600000.0,5.0,5.0
فيلا للبيع في طريق نجم الدين الأيوبي الفرعي ، حي العوالي ، الرياض,355.0,1150000.0,5.0,5.0
فيلا للبيع في شارع نجم الدين الأيوبي ، الرياض,300.0,970000.0,5.0,5.0
فيلا للبيع في الرياض,420.0,1000000.0,3.0,4.0
فيلا للبيع في شارع علي البجادي ، الرياض,438.0,1400000.0,4.0,3.0
فيلا للبيع في حي الياسمين ، الرياض,276.0,1700000.0,4.0,4.0
فيلا للبيع في الرياض,324.0,1600000.0,5.0,5.0
فيلا للبيع في حي القيروان ، الرياض,475.6799679165831,1895102.5614597956,5.0,5.0
فيلا للبيع في الرياض,450.0,1450000.0,4.70312813314618,5.0
فيلا للبيع في المملكة العربية السعودية,350.0,1200000.0,5.0,5.0
فيلا للبيع في حي العوالي ، الرياض,271.0,1080000.0,5.0,5.0
فيلا للبيع في شارع الكوادر ، حي الربيع ، الرياض,312.0,1750000.0,4.0,3.0
فيلا للبيع في شارع ابراهيم البرهان ، الرياض,336.0,1060000.0,5.0,5.0
فيلا للبيع في شارع عبدالله بن العاص ، الرياض,325.0,1550000.0,4.0,5.0
فيلا للبيع في الرياض,450.0,1510000.0,6.0,4.0
فيلا للبيع في الرياض,350.0,1200000.0,5.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,375.0,2150000.0,5.0,5.0
فيلا للبيع في شارع حميد الهلالي ، حي الخليج ، الرياض,312.0,1250000.0,5.0,5.0
فيلا للبيع في حي القادسية ، الرياض,325.0,1350000.0,5.0,5.0
فيلا للبيع في الرياض,300.0,930000.0,5.0,5.0
فيلا للبيع في الرياض,375.0,1220000.0,5.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,450.0,1380000.0,5.0,5.0
فيلا للبيع في شارع احمد بن الخطاب ، الرياض,300.0,1080000.0,5.0,5.0
فيلا للبيع في طريق عثمان بن عفان ، حي الندى ، الرياض,368.0,2500000.0,5.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,330.0,1700000.0,4.0,4.0
فيلا للبيع في حي الياسمين ، الرياض,380.0,1900000.0,5.0,5.0
فيلا للبيع في طريق الإمام عبدالله بن سعود بن عبدالعزيز ، حي القادسية ، الرياض,375.0,1380000.0,6.0,5.0
فيلا للبيع في الرياض,450.0,1000000.0,3.0,5.0
فيلا للبيع في شارع علي البجادي ، الرياض,330.0,1250000.0,4.0,5.0
فيلا للبيع في شارع دمياط ، حي ظهرة لبن ، الرياض,312.0,1300000.0,3.0,5.0
فيلا للبيع في شارع دمياط ، حي ظهرة لبن ، الرياض,312.0,1300000.0,4.0,4.449167836374574
فيلا للبيع في شارع وادي الساحل ، حي القادسية ، الرياض,265.0,1150000.0,5.0,5.0
فيلا للبيع في المملكة العربية السعودية,435.0,1580000.0,3.0,5.0
فيلا للبيع في حي الياسمين ، الرياض,350.0,2000000.0,4.0,4.0
فيلا للبيع في الرياض,400.0,960000.0,3.0,4.0
"فيلا للبيع في شارع اسماعيل بن السلطان, الروضة, الرياض",525.0,3000000.0,5.0,5.0
فيلا للبيع في حي طويق ، الرياض,300.0,890000.0,5.0,5.0
فيلا للبيع في شارع التخصصي ، حي المحمدية ، الرياض,400.0,1600000.0,4.0,3.0
فيلا للبيع في شارع الكناني ، حي الربيع ، الرياض,325.0,1900000.0,4.0,5.0
فيلا للبيع في شارع البانياسي ، حي بدر ، الرياض,392.0,650000.0,4.0,4.0
فيلا للبيع في المملكة العربية السعودية,427.0,985000.0,4.0,5.0
فيلا للبيع في شارع علي بن شيبان ، حي العوالي ، الرياض,312.0,1200000.0,5.0,5.0
فيلا للبيع في الرياض,275.0,900000.0,4.0,3.0
فيلا للبيع في شارع مالك بن الدخشم الخزرجي ، الرياض,420.0,1300000.0,3.0,4.0
فيلا للبيع في شارع مليحة ، حي قرطبة ، الرياض,360.0,1650000.0,4.0,5.0
فيلا للبيع في طريق السيل الكبير ، الرياض,303.0,1300000.0,4.0,5.0
فيلا للبيع في شارع نجران ، حي قرطبة ، الرياض,448.0,1800000.0,5.0,4.0
فيلا للبيع في حي الياسمين ، الرياض,425.0,2500000.0,5.0,5.0
فيلا للبيع في شارع القرينات ، حي الندى ، الرياض,250.0,1300000.0,4.0,4.0
فيلا للبيع في الرياض,385.0,970000.0,4.70312813314618,5.0
فيلا للبيع في شارع علي بن شيبان ، حي العوالي ، الرياض,450.0,950000.0,5.0,5.0
فيلا للبيع في طريق علي البجادي ، حي الرمال ، الرياض,429.0,1450000.0,4.0,4.0
فيلا للبيع في حي طويق ، الرياض,420.0,1300000.0,5.0,5.0
