time_duration,neighborhood
1 days 00:00:00,الياسمين
30 days 10:00:00,طويق
7 days 00:00:00,النرجس
14 days 00:00:00,الملقا
1 days 00:00:00,طويق
7 days 00:00:00,طويق
60 days 20:00:00,طويق
3 days 00:00:00,طويق
91 days 06:00:00,النرجس
30 days 10:00:00,ديراب
7 days 00:00:00,الحزم
30 days 10:00:00,بدر
5 days 00:00:00,طويق
0 days 11:00:00,الدولي
30 days 10:00:00,الحمراء
0 days 08:00:00,طويق
14 days 00:00:00,العارض
6 days 00:00:00,القدس
21 days 00:00:00,نمار
0 days 06:00:00,القيروان
2 days 00:00:00,نمار
3 days 00:00:00,بدر
0 days 07:00:00,الياسمين
0 days 12:00:00,الملقا
0 days 22:00:00,العارض
14 days 00:00:00,العارض
60 days 20:00:00,الجنادرية
14 days 00:00:00,النرجس
7 days 00:00:00,الجنادرية
7 days 00:00:00,الربيع
0 days 07:00:00,القيروان
2 days 00:00:00,طويق
30 days 10:00:00,المهدية
14 days 00:00:00,المونسية
0 days 11:00:00,الملقا
14 days 00:00:00,المهدية
0 days 01:00:00,العارض
0 days 11:00:00,الجنادرية
0 days 03:00:00,الصحافة
14 days 00:00:00,المهدية
2 days 00:00:00,النهضة
60 days 20:00:00,الرمال
21 days 00:00:00,العارض
1 days 00:00:00,طويق
7 days 00:00:00,النرجس
60 days 20:00:00,العارض
91 days 06:00:00,طويق
0 days 06:00:00,الياسمين
2 days 00:00:00,اليرموك
28 days 00:00:00,المهدية
0 days 06:00:00,النفل
0 days 07:00:00,المهدية
7 days 00:00:00,نمار
7 days 00:00:00,العزيزية
2 days 00:00:00,اشبيلية
0 days 13:00:00,الرمال
6 days 00:00:00,المهدية
1 days 00:00:00,طويق
14 days 00:00:00,الياسمين
0 days 19:00:00,طويق
30 days 10:00:00,المونسية
30 days 10:00:00,المونسية
0 days 05:00:00,طويق
7 days 00:00:00,الملقا
28 days 00:00:00,طويق
30 days 10:00:00,الرمال
0 days 10:00:00,العارض
6 days 00:00:00,البيضاء
6 days 00:00:00,الملقا
0 days 10:00:00,طويق
0 days 10:00:00,طويق
2 days 00:00:00,الملقا
0 days 12:00:00,طويق
0 days 02:00:00,الملقا
7 days 00:00:00,الرمال
14 days 00:00:00,عبدالله
0 days 07:00:00,العارض
4 days 00:00:00,شبرا
6 days 00:00:00,الملقا
21 days 00:00:00,الرمال
5 days 00:00:00,الغربي
1 days 00:00:00,الياسمين
30 days 10:00:00,المهدية
1 days 00:00:00,طويق
0 days 02:00:00,المونسية
0 days 12:00:00,العارض
0 days 08:00:00,العارض
1 days 00:00:00,القيروان
2 days 00:00:00,العليا
30 days 10:00:00,الجنادرية
0 days 10:00:00,طويق
7 days 00:00:00,لبن
0 days 06:00:00,الرمال
6 days 00:00:00,الياسمين
0 days 05:00:00,التعاون
0 days 16:00:00,الاندلس
3 days 00:00:00,العارض
1 days 00:00:00,الملقا
0 days 06:00:00,طويق
1 days 00:00:00,طويق
0 days 08:00:00,العارض
0 days 11:00:00,المونسية
0 days 06:00:00,الربيع
0 days 10:00:00,طويق
1 days 00:00:00,العارض
1 days 00:00:00,طويق
0 days 03:00:00,بدر
91 days 06:00:00,طويق
14 days 00:00:00,المهدية
3 days 00:00:00,الملقا
60 days 20:00:00,الملقا
7 days 00:00:00,المعيزلة
0 days 12:00:00,الياسمين
0 days 09:00:00,طويق
60 days 20:00:00,الجنادرية
7 days 00:00:00,طويق
1 days 00:00:00,الملقا
2 days 00:00:00,النرجس
0 days 07:00:00,المهدية
3 days 00:00:00,الملقا
60 days 20:00:00,المونسية
30 days 10:00:00,الملقا
7 days 00:00:00,النرجس
91 days 06:00:00,الملقا
0 days 11:00:00,طويق
1 days 00:00:00,طويق
6 days 00:00:00,الياسمين
7 days 00:00:00,النهضة
2 days 00:00:00,المونسية
60 days 20:00:00,طويق
0 days 12:00:00,طويق
5 days 00:00:00,طويق
7 days 00:00:00,اشبيلية
30 days 10:00:00,النرجس
0 days 11:00:00,النرجس
21 days 00:00:00,المهدية
0 days 11:00:00,الياسمين
21 days 00:00:00,العارض
0 days 08:00:00,طويق
14 days 00:00:00,العقيق
60 days 20:00:00,طويق
91 days 06:00:00,البيضاء
0 days 13:00:00,طويق
2 days 00:00:00,الجنادرية
2 days 00:00:00,الملقا
2 days 00:00:00,الملقا
1 days 00:00:00,طويق
0 days 09:00:00,طويق
1 days 00:00:00,البيضاء
4 days 00:00:00,اشبيلية
2 days 00:00:00,الملقا
1 days 00:00:00,القدس
14 days 00:00:00,المونسية
0 days 12:00:00,طويق
91 days 06:00:00,الجنادرية
7 days 00:00:00,النرجس
0 days 10:00:00,النخيل
3 days 00:00:00,ديراب
0 days 06:00:00,طويق
30 days 10:00:00,الرمال
14 days 00:00:00,طويق
21 days 00:00:00,الياسمين
0 days 06:00:00,الملقا
91 days 06:00:00,الملقا
14 days 00:00:00,الياسمين
7 days 00:00:00,الرمال
0 days 00:35:00,العارض
1 days 00:00:00,طويق
0 days 07:00:00,النرجس
3 days 00:00:00,الحزم
3 days 00:00:00,النرجس
30 days 10:00:00,الحزم
4 days 00:00:00,المهدية
14 days 00:00:00,النرجس
7 days 00:00:00,الياسمين
0 days 09:00:00,طويق
0 days 06:00:00,طويق
14 days 00:00:00,العزيزية
4 days 00:00:00,الدولي
60 days 20:00:00,عرقة
2 days 00:00:00,الجنادرية
0 days 07:00:00,العارض
0 days 12:00:00,طويق
14 days 00:00:00,السعادة
30 days 10:00:00,طويق
30 days 10:00:00,القادسية
91 days 06:00:00,المهدية
0 days 01:00:00,الياسمين
7 days 00:00:00,الحزم
